Redshift
1.752
2.571
1.522
5.26
0.942
0.661
1.091
1.52
1.396
2.163
0.767
1.519
0.31
0.845
0.963
1.36
2.627
1.847
2.823
2.921
3.035
4.368
3.44
7.27
0.2
1.131
3.315
2.756
0.768
4.61
3.55
2.151
2.89
4.732
1.416
4.01
2.481
2.674
4.59
1.879
2.681
2.82
1.411
2.791
4.2
0.573
2.61
1.234
1.46
0.659
0.238
1.495
3.662
0.3965
5.178
1.833
4.859
0.946
6.782
0.824
3.162
2.305
3.13
0.8304
0.257
2.42
0.36
3.568
1.664
2.142
2.694
4.06
0.151
3.084
2.3608
0.857
5.6
0.293
4.961
1.246
4.618
2.272
1.1137
0.39
6.318
1.736
1.2525
1.145
1.16
1.937
1.13
3.54
2.486
2.077
1.4
2.826
1.487
1.069
2.198
0.715
0.876
2.514
0.46
1.045
5.7
1.1
1.954
1.105
0.999
1.07
0.804
2.903
0.426
4.56
1.22
1.256
1.465
1.148
0.248
1.722
3.503
3.225
0.0785
2.469
1.942
1.1715
0.425
3.3765
1.859
1.505
2.938
1.39
1.096
0.117
0.654
0.6678
2.855
1.1175
1.305
1.0
1.998
2.248
1.445
1.409
2.487
2.409
0.0368
1.87
0.3285
0.793
2.01
0.557
1.329
2.366
0.818
3.51
2.53
3.645
1.968
0.1475
0.645
1.549
1.159
2.708
2.013
2.823
0.736
3.332
1.406
0.367
1.17
0.555
1.717
0.726
1.64
2.38
3.52
0.972
1.96
0.87
2.59
1.167
1.423
4.063
0.81
2.33
1.968
1.359
0.755
0.282
0.313
0.256
0.807
3.139
2.06
0.593
1.758
1.5169
2.087
0.915
1.452
1.3195
1.47
2.993
2.33
0.573
1.21
3.29
1.32
0.558
3.14
2.275
1.92
2.04
4.233
0.384
4.707
6.32
0.725
1.027
0.889
1.6
4.7
3.26
3.956
1.02
4.954
5.283
1.416
1.98
1.2076
2.73
3.0
0.642
4.042
2.4
1.686
0.599
1.295
1.874
0.717
0.347
1.238
0.4791
0.145
1.155
2.006
2.092
5.913
0.3564
2.488
1.3033
2.27
2.78
0.3399
1.297
1.218
3.757
0.597
2.539
2.707
1.023
2.1
3.385
2.2
1.773
2.298
7.8
3.93
0.97
2.358
2.671
3.1
3.796
0.8
1.48
0.9586
2.486
0.3984
4.1745
1.405
2.1974
6.0
0.283
2.876
2.813
1.798
1.1
2.4
1.728
2.943
1.3805
0.714
0.297
0.478
0.677
1.0796
3.1516
2.893
4.9898
0.013
0.982
3.36
1.348
1.858
2.83
0.82
1.613
1.77
1.083
1.46
2.22
2.339
0.618
0.847
0.55
0.414
1.727
7.9
1.408
0.8035
1.44
2.106
1.567
1.288
0.542
1.398
4.772
0.5201
1.755
2.465
0.6235
1.368
0.059
1.18
3.155
4.813
4.6667
1.063
0.49
3.076
2.752
1.092
1.71
0.971
0.8969
1.37
1.24
2.1062
1.822
0.696
2.452
2.737
2.71
3.0
0.54
1.266
2.625
3.85
4.109
2.609
0.544
8.26
1.608
0.345
1.4485
0.736
3.57
3.375
4.6497
2.1
1.7493
1.547
2.77
2.26
2.0631
2.05
2.512
2.58
0.9787
3.8479
3.038
1.9685
0.5295
1.692
0.689
6.695
2.374
3.35
1.505
2.2045
2.591
0.845
1.23
3.036
1.6398
1.416
2.69
1.688
1.8204
1.545
0.089
2.47
0.767
1.1
2.433
1.03
1.51
1.78
1.95
0.937
2.0265
2.42
2.641
2.0858
4.349
1.14
1.331
0.823
2.692
5.2
2.452
2.145
0.947
0.98
1.60435
2.17
2.45
3.626
1.58
0.617
2.04
2.4996
2.0865
2.31
1.9591
0.97
2.954
2.0627
0.836
1.4959
1.9922
1.6295
1.165
2.3384
1.547
2.352
2.6208
3.355
2.088
2.2543
1.1588
1.314
3.44
0.758
0.3463
1.261
5.47
3.2
1.5094
0.937
1.8836
3.686
0.703
1.9229
2.3633
0.54
1.532
2.711
1.92
3.425
0.125
3.0749
3.78
2.1357
3.221
5.11
2.1
4.94
0.089
1.51
1.489
1.172
1.559
4.41
0.0331
3.91
4.048
2.3393
0.783
2.296
0.56
3.53
2.32
0.481
1.55
2.346
0.809
0.9364
2.77
1.059
2.4296
2.198
2.5273
3.344
6.29
0.297
0.83
1.434
2.612
2.5043
5.77
1.38
3.967
2.4383
0.606
4.27
3.793
0.6535
1.2357
2.9
3.24
1.44
1.949
0.5915
2.62
1.29
0.3
0.716
0.859
1.563
0.105
0.782
2.65
0.168
1.52
3.372
1.98
1.01
2.33
0.25
1.9621
1.25
0.69
3.198
2.14
0.36
0.45
1.477
2.066
1.058
1.118
2.03
0.8463
4.5
0.706
0.434
0.842
1.619
1.3
1.6
0.966
1.096
0.0085
3.42
0.9578
0.835
0.695
